Model,MAE,RMSE,R2,MAPE
Linear,943.2714107319957,1240.6811369659217,0.46027475264237194,116.3057253320684
DecisionTree,1035.8043896774193,1479.0439417682999,0.23296615201017978,67.2067741906345
RandomForest,779.5722788785923,1099.213572037288,0.5763408999712485,53.1350743044335
SVR,1132.4805830853302,1519.3767745765647,0.1905624600239172,152.82341584481387
KNN,890.2945611495601,1228.2052931624467,0.4710747442187919,80.1798020659332
